run_name,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2017-08-08-32,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-33,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-34,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-36,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-37,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-38,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-39,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-40,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-41,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-42,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-43,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-44,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-45,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-46,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-47,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-48,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-49,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-50,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-51,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-52,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-53,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-54,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-55,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-56,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-57,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-58,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-59,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-60,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-61,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-62,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-63,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-64,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-65,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-66,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-67,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-68,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-69,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-70,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-71,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-72,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-73,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-74,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-75,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-76,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-77,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-78,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-79,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-80,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-81,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-82,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-83,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-84,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-85,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-86,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-87,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-88,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-89,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-90,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-91,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-92,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-93,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-94,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-95,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-96,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-97,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-98,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-99,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-100,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-101,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-102,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-103,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-104,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-106,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-107,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-08-35,1.0,,NON_FIDUCIAL,,,,,1
dga2017-08-08-105,1.0,,NON_FIDUCIAL,,,,,1
