run_name,tilt_series_max_angle,tilt_series_min_angle,tilt_series_total_flux,tomo-align_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-total_flux
scy2015-04-17-5,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-6,65.0,-65.0,90.0,Batchruntomo,16.145,Batchruntomo,65.0,-65.0,90.0
scy2015-04-17-7,65.0,-65.0,90.0,Batchruntomo,16.145,Batchruntomo,65.0,-65.0,90.0
scy2015-04-17-8,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-9,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-10,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-11,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-12,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-13,65.0,-65.0,90.0,Batchruntomo,16.145,Batchruntomo,65.0,-65.0,90.0
scy2015-04-17-14,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-15,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-16,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-17,65.0,-65.0,90.0,Batchruntomo,16.145,Batchruntomo,65.0,-65.0,90.0
scy2015-04-17-18,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-19,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-20,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-21,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-22,65.0,-65.0,90.0,Batchruntomo,16.145,Batchruntomo,65.0,-65.0,90.0
scy2015-04-17-23,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
scy2015-04-17-24,65.0,-65.0,90.0,Batchruntomo,16.145,Batchruntomo,65.0,-65.0,90.0
scy2015-04-17-25,65.0,-65.0,90.0,RAPTOR,16.145,RAPTOR,65.0,-65.0,90.0
