run_name,tomo-processing_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality
pda2022-01-23-41,IMOD,45.0,-45.0,4
pda2022-01-23-42,IMOD,45.0,-45.0,4
pda2022-01-23-43,IMOD,45.0,-45.0,4
pda2022-01-23-44,IMOD,45.0,-45.0,4
pda2022-01-23-45,IMOD,45.0,-45.0,4
pda2022-01-23-47,IMOD,45.0,-45.0,4
pda2022-01-23-48,IMOD,45.0,-45.0,4
pda2022-01-23-49,IMOD,45.0,-45.0,4
pda2022-01-23-50,IMOD,45.0,-45.0,4
pda2022-01-23-51,IMOD,45.0,-45.0,4
pda2022-01-23-52,IMOD,45.0,-45.0,4
pda2022-01-23-53,IMOD,45.0,-45.0,4
pda2022-01-23-54,IMOD,45.0,-45.0,4
pda2022-01-23-55,IMOD,45.0,-45.0,4
pda2022-01-23-56,IMOD,45.0,-45.0,4
pda2022-01-23-57,IMOD,45.0,-45.0,4
pda2022-01-23-58,IMOD,45.0,-45.0,4
pda2022-01-23-59,IMOD,45.0,-45.0,4
pda2022-01-23-60,IMOD,45.0,-45.0,4
pda2022-01-23-61,IMOD,45.0,-45.0,4
pda2022-01-23-62,IMOD,45.0,-45.0,4
pda2022-01-23-63,IMOD,45.0,-45.0,4
pda2022-01-23-64,IMOD,45.0,-45.0,4
pda2022-01-23-65,IMOD,45.0,-45.0,4
pda2022-01-23-66,IMOD,45.0,-45.0,4
pda2022-01-23-67,IMOD,45.0,-45.0,4
pda2022-01-23-68,IMOD,45.0,-45.0,4
pda2022-01-23-69,IMOD,45.0,-45.0,4
pda2022-01-23-70,IMOD,45.0,-45.0,4
pda2022-01-23-71,IMOD,45.0,-45.0,4
pda2022-01-23-72,IMOD,45.0,-45.0,4
pda2022-01-23-73,IMOD,45.0,-45.0,4
pda2022-01-23-74,IMOD,45.0,-45.0,4
pda2022-01-23-75,IMOD,45.0,-45.0,4
pda2022-01-23-76,IMOD,45.0,-45.0,4
pda2022-01-23-77,IMOD,45.0,-45.0,4
pda2022-01-23-78,IMOD,45.0,-45.0,4
pda2022-01-23-79,IMOD,45.0,-45.0,4
pda2022-01-23-80,IMOD,45.0,-45.0,4
pda2022-01-23-81,IMOD,45.0,-45.0,4
pda2022-01-23-82,IMOD,45.0,-45.0,4
pda2022-01-23-83,IMOD,45.0,-45.0,4
pda2022-01-23-84,IMOD,45.0,-45.0,4
pda2022-01-23-85,IMOD,45.0,-45.0,4
pda2022-01-23-87,IMOD,45.0,-45.0,4
pda2022-01-23-88,IMOD,45.0,-45.0,4
pda2022-01-23-89,IMOD,45.0,-45.0,4
pda2022-01-23-91,IMOD,45.0,-45.0,4
pda2022-01-23-92,IMOD,45.0,-45.0,4
pda2022-01-23-93,IMOD,45.0,-45.0,4
pda2022-01-23-94,IMOD,45.0,-45.0,4
pda2022-01-23-95,IMOD,45.0,-45.0,4
pda2022-01-23-96,IMOD,45.0,-45.0,4
pda2022-01-23-97,IMOD,45.0,-45.0,4
pda2022-01-23-98,IMOD,45.0,-45.0,4
pda2022-01-23-99,IMOD,45.0,-45.0,4
pda2022-01-23-103,IMOD,45.0,-45.0,4
pda2022-01-23-34,IMOD,36.0,-33.0,3
pda2022-01-23-46,IMOD,-30.0,-33.0,2
pda2022-01-23-86,IMOD,18.0,-12.0,2
pda2022-01-23-90,IMOD,45.0,-45.0,3
pda2022-01-23-100,IMOD,24.0,-18.0,2
pda2022-01-23-101,IMOD,36.0,-36.0,3
pda2022-01-23-102,IMOD,12.0,-9.0,2
