run_name,tilt_series_min_angle,tilt_series_quality_score,tomo-align_software,tomo-voxel_spacing,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant,ts-tilt_alignment_software,ts-tilt_range-min,ts-tilt_series_quality
aba2014-07-15-41,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-60,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-61,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-62,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-15-63,-60.0,4.0,RAPTOR,15.218,TFS,Krios,3.805,2.7,RAPTOR,-60.0,4
aba2014-07-17-8,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-9,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-10,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-11,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-12,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-13,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-14,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-15,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-17,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-18,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-19,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-20,-60.0,4.0,Batchruntomo,15.218,FEI,Polara,3.805,2.0,Batchruntomo,-60.0,4
aba2014-07-17-21,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-22,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-23,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-24,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-25,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-26,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-27,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-28,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-29,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-30,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-31,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-32,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2014-07-17-33,-60.0,4.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-60.0,4
aba2015-07-08-14,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-15,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-16,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-17,-60.0,4.0,Batchruntomo,13.236,TFS,Krios,3.309,2.7,Batchruntomo,-60.0,4
aba2015-07-08-18,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-24,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-25,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-28,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-29,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-30,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-32,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2015-07-08-33,-60.0,4.0,RAPTOR,13.236,TFS,Krios,3.309,2.7,RAPTOR,-60.0,4
aba2014-07-17-16,-29.0,3.0,RAPTOR,15.218,FEI,Polara,3.805,2.0,RAPTOR,-29.0,3
