run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2016-08-09-23,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-24,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-25,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-28,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-29,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-30,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-31,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-32,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-33,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-34,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-35,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-36,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-37,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-38,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-39,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-40,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-41,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-43,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-44,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-45,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-46,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-47,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-49,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-50,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-51,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-53,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-54,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-55,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-56,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-57,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-59,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-60,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-61,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-64,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-65,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-66,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-67,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-70,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-71,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-73,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-75,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-76,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-77,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-78,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-79,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-80,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-81,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-82,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-84,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-85,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-87,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-88,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-89,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-90,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-91,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-94,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-95,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-96,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-97,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-98,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-99,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-101,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-104,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-105,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-107,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-108,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-109,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-110,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-111,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-112,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-113,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-114,RAPTOR,FIDUCIAL,,WBP,IMOD,16.8,RAPTOR,
dga2016-08-09-92,,NON_FIDUCIAL,,,,,,1
