run_name,tomo-align_softwares,tomo-processing,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,ts-tilt_alignment_software
dga2017-01-08-72,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-75,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-77,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-79,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-85,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-88,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-94,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-95,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-100,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-101,['TOMO3D'],TOMO3D,tomo3D,SIRT,TOMO3D,TOMO3D;RAPTOR
dga2017-01-08-5,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-18,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-20,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-27,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-28,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-30,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-33,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-35,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-42,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-52,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-57,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-61,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-76,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
dga2017-01-08-91,['RAPTOR'],raw,,Weighted back projection,IMOD,RAPTOR;TOMO3D
