run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_quality_score,tilt_series_tilt_step,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_step,ts-total_flux
dga2017-05-10-50,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-51,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-52,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-53,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-54,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-55,110.0,28.0,3.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,28.0,2.0,110.0
dga2017-05-10-56,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-57,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-58,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-59,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-60,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-61,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-62,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-63,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-64,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-65,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-66,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-67,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-68,110.0,60.0,4.0,2.0,RAPTOR,,WBP,IMOD,16.145,RAPTOR,60.0,2.0,110.0
dga2017-05-10-69,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-70,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
dga2017-05-10-71,110.0,60.0,4.0,2.0,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D,60.0,2.0,110.0
