run_name,frame_dose_rate,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-data_acquisition_software,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-total_flux
qya2015-12-26-37,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-38,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-41,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-42,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-43,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-48,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-49,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-52,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-53,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2015-12-26-54,1.6115702479338843,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,195.0
qya2016-06-11-1,1.4462809917355373,,NON_FIDUCIAL,,,,UCSFTomo,4.933,,60.0,-60.0,1,175.0
qya2016-06-11-4,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-1,1.7117117117117118,,NON_FIDUCIAL,,,,UCSFTomo,4.933,,55.0,-55.0,1,190.0
qya2016-06-11-5,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-11-9,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-11-10,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-11-11,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-11-12,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-11-13,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-9,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-10,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-12,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-13,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-14,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-16,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-17,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-18,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-19,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-20,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-21,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-23,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-27,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-18-31,1.7117117117117118,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,190.0
qya2016-06-22-10,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-11,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-12,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-14,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-15,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-18,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-20,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-21,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-23,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-24,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-25,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-27,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-29,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-30,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-33,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-35,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-36,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-38,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-39,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-41,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-42,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-06-22-43,1.5702479338842976,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,60.0,-60.0,4,190.0
qya2016-07-01-1,1.8018018018018018,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,200.0
qya2016-07-01-2,1.8018018018018018,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,UCSFTomo,4.933,RAPTOR,55.0,-55.0,4,200.0
