run_name,tomo-align_software,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software
dga2017-02-08-18,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-19,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-20,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-21,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-22,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-23,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-24,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-25,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-27,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-28,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-29,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-30,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-31,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-32,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-33,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-34,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-35,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-36,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-37,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-38,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-39,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-40,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-41,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-42,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-43,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-44,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-46,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-47,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-49,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-51,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-53,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-54,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-55,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-56,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-57,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-59,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-60,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-61,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-62,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-63,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-64,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-66,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-67,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-69,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-70,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-71,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-72,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-89,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-90,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-91,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-93,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-94,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-101,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-103,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-104,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-105,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-106,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-109,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-110,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-111,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
dga2017-02-08-112,TOMO3D,tomo3D,SIRT,TOMO3D,15.6,TOMO3D
