run_name,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2017-08-16-41,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-42,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-43,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-44,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-45,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-46,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-47,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-48,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-49,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-50,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-51,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-52,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-53,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-54,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-55,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-56,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-57,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-58,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-59,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-60,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-61,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-63,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-64,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-65,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-66,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-67,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-68,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-69,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-70,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-71,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-72,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-75,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-76,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-77,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-78,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-79,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-81,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-82,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-83,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-84,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-85,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-87,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-92,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-93,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-94,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-95,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-96,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-97,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-98,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-99,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-100,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-101,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-102,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-103,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-105,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-106,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-107,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-109,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-112,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-113,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-114,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-116,4.0,TOMO3D,FIDUCIAL,SIRT,TOMO3D,15.6,TOMO3D,4
dga2017-08-16-117,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-118,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,RAPTOR,4
dga2017-08-16-73,1.0,,NON_FIDUCIAL,,,,,1
