run_name,tilt_series_min_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-camera-acquire_mode,ts-camera-model,ts-tilt_alignment_software,ts-tilt_range-min,ts-tilt_series_quality
cwl2011-11-12-61,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-1,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-2,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-3,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-4,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-5,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-6,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-7,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-8,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-9,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-10,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-11,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-12,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-13,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-14,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-15,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-16,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-17,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-18,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-19,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-20,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-21,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-23,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-24,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-25,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
cwl2011-11-13-26,-60.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,,UltraCam,RAPTOR,-60.0,4
