run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_min_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality
dga2015-10-29-13,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-14,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-15,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-16,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-17,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-18,0.8264462809917356,34.0,-60.0,3.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,34.0,-60.0,4
dga2015-10-29-19,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-20,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-21,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-22,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-23,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-24,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-25,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-26,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-28,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-30,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-31,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-32,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-33,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-34,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-36,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-37,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-38,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-39,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-40,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-41,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-42,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-43,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-44,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-45,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-46,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-47,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-48,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-49,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-50,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-51,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-52,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-53,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-54,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-55,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-56,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-57,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-58,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-59,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-60,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-61,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-62,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-63,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-64,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-65,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-66,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-67,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-68,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-69,0.8264462809917356,60.0,-60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,-60.0,1
dga2015-10-29-70,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-71,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-72,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-73,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-74,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-75,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-27,0.7633587786259542,65.0,-65.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,65.0,-65.0,4
dga2015-10-29-29,0.7633587786259542,65.0,-65.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,65.0,-65.0,4
