run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_min_angle,tilt_series_tilt_step,tomo-align_software,tomo-fiducial_alignment_status,tomo-voxel_spacing,ts-camera-model,ts-data_acquisition_software,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_step,ts-tilting_scheme,ts-total_flux
ycw2013-08-20-19,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-20,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-21,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-22,100.0,65.0,-65.0,1.0,autoPatch,NON_FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,autoPatch,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-23,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-24,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-25,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-26,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-27,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-28,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-29,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-30,100.0,65.0,-65.0,1.0,autoPatch,NON_FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,autoPatch,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-31,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-37,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-39,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-40,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-41,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-42,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-43,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-44,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-45,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-47,100.0,65.0,-65.0,1.0,autoPatch,NON_FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,autoPatch,65.0,-65.0,1.0,starting tilt to max then min,100.0
