run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
mka2019-11-24-59,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-60,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-61,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-62,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-63,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-64,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-66,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-67,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-68,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-69,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-70,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-71,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-72,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-73,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-74,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-75,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-77,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-78,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-79,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-80,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-81,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-83,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-84,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-85,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-86,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-88,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-89,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-90,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-93,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-94,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-95,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-96,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-97,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-98,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-100,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,60.0,4
mka2019-11-24-6,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-21,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-28,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-30,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-31,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-32,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-33,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-34,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-35,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-36,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-37,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-38,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-42,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-50,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-52,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-58,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-92,,NON_FIDUCIAL,,,,,,60.0,1
mka2019-11-24-23,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-11-24-91,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,54.0,3
mka2019-11-24-48,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-11-24-76,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-11-24-87,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-11-24-99,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,57.0,3
mka2019-11-24-65,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,17.976,RAPTOR,51.0,3
mka2019-11-24-82,,NON_FIDUCIAL,,,,,,48.0,1
