run_name,frame_dose_rate,tomo-voxel_spacing,ts-data_acquisition_software,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_step,ts-total_flux
ycw2013-09-28-87,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-88,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-89,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-90,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-91,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-92,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-93,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-94,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-95,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-96,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-97,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-98,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-99,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-100,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-101,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-102,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-103,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-104,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-105,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-12-06-2,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-3,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-4,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-6,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-7,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-9,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-11,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-12,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-14,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-15,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-16,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-17,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-18,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-19,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-20,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-21,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-26,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-27,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-28,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-29,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-30,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-31,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-32,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-33,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-34,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-35,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-36,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-37,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-38,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-39,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-41,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-43,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-44,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-45,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-46,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-47,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-48,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-49,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-50,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
ycw2013-12-06-57,0.916030534351145,19.315,UCSFTomo,TFS,Krios,4.829,2.7,65.0,-65.0,1.0,120.0
