run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_path,ts-tilt_series_quality,ts-tilt_step
dga2017-02-02-36,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0030.mrc,4,2.0
dga2017-02-02-37,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0031.mrc,4,2.0
dga2017-02-02-38,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0032.mrc,4,2.0
dga2017-02-02-39,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0033.mrc,4,2.0
dga2017-02-02-40,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0034.mrc,4,2.0
dga2017-02-02-41,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0035.mrc,4,2.0
dga2017-02-02-42,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0036.mrc,4,2.0
dga2017-02-02-43,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0037.mrc,4,2.0
dga2017-02-02-44,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0038.mrc,4,2.0
dga2017-02-02-45,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0039.mrc,4,2.0
dga2017-02-02-46,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0040.mrc,4,2.0
dga2017-02-02-47,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0041.mrc,4,2.0
dga2017-02-02-48,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0042.mrc,4,2.0
dga2017-02-02-49,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0043.mrc,4,2.0
dga2017-02-02-51,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0045.mrc,4,2.0
dga2017-02-02-52,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0046.mrc,4,2.0
dga2017-02-02-53,,NON_FIDUCIAL,,None,None,,,rawdata/JV1181_02022017a0047.mrc,1,2.0
dga2017-02-02-54,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0048.mrc,4,2.0
dga2017-02-02-55,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0049.mrc,4,2.0
dga2017-02-02-56,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0050.mrc,4,2.0
dga2017-02-02-57,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0051.mrc,4,2.0
dga2017-02-02-58,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/JV1181_02022017a0052.mrc,4,2.0
dga2017-02-02-59,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0053.mrc,4,2.0
dga2017-02-02-60,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0054.mrc,4,2.0
dga2017-02-02-61,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0055.mrc,4,2.0
