run_name,frame_dose_rate,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-data_acquisition_software,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-total_flux
dga2019-12-07-127,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-128,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-129,3.5135135135135136,,NON_FIDUCIAL,,,,,SerialEM,3.53,,54.0,-54.0,1,130.0
dga2019-12-07-130,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-131,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-132,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-133,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-136,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-137,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-138,3.5135135135135136,,NON_FIDUCIAL,,,,,SerialEM,3.53,,54.0,-54.0,1,130.0
dga2019-12-07-139,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,51.0,-54.0,3,130.0
dga2019-12-07-140,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-143,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-144,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-145,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-146,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-147,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-148,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,-9.0,-54.0,2,130.0
dga2019-12-07-149,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-150,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-151,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-152,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-153,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-154,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-155,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-156,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-157,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-158,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-159,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-160,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-161,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-162,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-164,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-165,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-166,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
