run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality,ts-tilt_step,ts-total_flux
zyh2009-06-13-36,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-37,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-38,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-39,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-41,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-43,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-44,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-8,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.245614035087719,130.0
zyh2009-06-13-20,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.245614035087719,130.0
zyh2009-06-13-27,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.245614035087719,130.0
zyh2009-06-13-9,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.206896551724138,130.0
zyh2009-06-13-10,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.206896551724138,130.0
zyh2009-06-13-19,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.3703703703703702,130.0
zyh2009-06-13-40,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.5098039215686274,130.0
zyh2009-06-13-42,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,4.266666666666667,130.0
