run_name,frame_dose_rate,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-tilt_step,ts-total_flux
ycw2017-07-06-75,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-76,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-77,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-78,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-79,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-80,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-81,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-82,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-83,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-84,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-85,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-86,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-87,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-88,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-89,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-91,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-92,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-93,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-94,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-95,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-96,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-97,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-98,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-99,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-101,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-102,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
ycw2017-07-06-103,1.487603305785124,RAPTOR,FIDUCIAL,WBP,IMOD,16.145,4.036,RAPTOR,60.0,-60.0,4,1.0,180.0
