run_name,ts-tilt_range-max,ts-tilt_series_quality
dga2017-10-17-40,60.0,4
dga2017-10-17-41,60.0,4
dga2017-10-17-42,60.0,4
dga2017-10-17-43,60.0,4
dga2017-10-17-44,60.0,4
dga2017-10-17-45,60.0,4
dga2017-10-17-46,60.0,4
dga2017-10-17-47,60.0,4
dga2017-10-17-48,60.0,4
dga2017-10-17-49,60.0,4
dga2017-10-17-51,60.0,4
dga2017-10-17-52,60.0,4
dga2017-10-17-57,60.0,4
dga2017-10-17-58,60.0,4
dga2017-10-17-59,60.0,4
dga2017-10-17-60,60.0,4
dga2017-10-17-62,60.0,4
dga2017-10-17-63,60.0,4
dga2017-10-17-64,60.0,4
dga2017-10-17-65,60.0,4
dga2017-10-17-66,60.0,4
dga2017-10-17-67,60.0,4
dga2017-10-17-68,60.0,4
dga2017-10-17-69,60.0,4
dga2017-10-17-70,60.0,4
dga2017-10-17-71,60.0,4
dga2017-10-17-72,60.0,4
dga2017-10-17-73,60.0,4
dga2017-10-17-74,60.0,4
dga2017-10-17-75,60.0,4
dga2017-10-17-76,60.0,4
dga2017-10-17-85,60.0,4
dga2017-10-17-92,60.0,4
dga2017-10-17-95,60.0,4
dga2017-10-17-96,60.0,4
dga2017-10-17-97,60.0,4
dga2017-10-17-98,60.0,4
dga2017-10-17-99,60.0,4
dga2017-10-17-120,60.0,4
dga2017-10-17-122,60.0,4
dga2017-10-17-123,60.0,4
dga2017-10-17-124,60.0,4
dga2017-10-17-125,60.0,4
dga2017-10-17-126,60.0,4
dga2017-10-17-127,60.0,4
dga2017-10-17-128,60.0,4
dga2017-10-17-129,60.0,4
dga2017-10-17-130,60.0,4
dga2017-10-17-131,60.0,4
dga2017-10-17-132,60.0,4
dga2017-10-17-133,60.0,4
dga2017-10-17-134,60.0,4
dga2017-10-17-135,60.0,4
dga2017-10-17-136,60.0,4
dga2017-10-17-137,60.0,4
dga2017-08-15-10,26.0,3
dga2017-08-15-15,6.0,2
dga2017-08-15-16,54.0,3
dga2017-08-15-19,44.0,3
dga2017-08-15-61,14.0,2
dga2017-08-15-82,56.0,3
dga2017-08-15-109,46.0,3
dga2017-09-30-10,0.0,2
dga2017-10-17-121,0.0,2
dga2017-10-17-87,42.0,3
