run_name,ts_quality_score
ay22112021_grid3_lamella2_pos48,5
ay22112021_grid3_lamella2_pos49,5
ay22112021_grid3_lamella2_pos50,5
ay22112021_grid3_lamella2_pos51,5
ay22112021_grid3_lamella2_pos52,5
ay22112021_grid3_lamella2_pos53,5
ay22112021_grid3_lamella2_pos54,5
ay22112021_grid3_lamella2_pos55,5
ay22112021_grid3_lamella2_pos56,5
ay22112021_grid3_lamella2_pos57,5
ay22112021_grid3_lamella2_pos58,5
ay22112021_grid3_lamella2_pos59,5
ay22112021_grid3_lamella2_pos6,5
ay22112021_grid3_lamella2_pos60,5
ay22112021_grid3_lamella2_pos61,5
ay22112021_grid3_lamella2_pos62,5
ay22112021_grid3_lamella2_pos63,5
ay22112021_grid3_lamella2_pos64,5
ay22112021_grid3_lamella2_pos65,5
ay22112021_grid3_lamella2_pos66,5
ay22112021_grid3_lamella2_pos67,5
ay22112021_grid3_lamella2_pos68,5
ay22112021_grid3_lamella2_pos69,5
ay22112021_grid3_lamella2_pos7,5
ay22112021_grid3_lamella2_pos70,5
ay22112021_grid3_lamella2_pos71,5
ay22112021_grid3_lamella2_pos72,5
ay22112021_grid3_lamella2_pos73,5
ay22112021_grid3_lamella2_pos74,5
ay22112021_grid3_lamella2_pos75,5
ay22112021_grid3_lamella2_pos76,5
ay22112021_grid3_lamella2_pos77,5
ay22112021_grid3_lamella2_pos78,5
ay22112021_grid3_lamella2_pos79,5
ay22112021_grid3_lamella2_pos8,5
ay22112021_grid3_lamella2_pos80,5
ay22112021_grid3_lamella2_pos81,5
ay22112021_grid3_lamella2_pos82,5
ay22112021_grid3_lamella2_pos83,5
ay22112021_grid3_lamella2_pos9,5
